Task,Start.End,Type,Time
validateURL,end,inter,1724705194725
parsepage,start,inter,1724705195857
parsepage,end,inter,1724705205272
validateURL,start,inter,1724705215132
validateURL,end,inter,1724705218596
parsepage,start,inter,1724705220115
parsepage,end,inter,1724705230005
validateURL,start,inter,1724705236126
validateURL,end,inter,1724705240676
parsepage,start,inter,1724705241846
parsepage,end,inter,1724705254261
validateURL,start,inter,1724705261602
validateURL,end,inter,1724705264456
parsepage,start,inter,1724705265805
parsepage,end,inter,1724705272098
validateURL,start,inter,1724705278803
validateURL,end,inter,1724705283233
parsepage,start,inter,1724705284539
parsepage,end,inter,1724705294342
validateURL,start,inter,1724705301898
validateURL,end,inter,1724705304363
parsepage,start,inter,1724705305739
parsepage,end,inter,1724705318669
validateURL,start,inter,1724705331175
validateURL,end,inter,1724705333340
parsepage,start,inter,1724705334332
parsepage,end,inter,1724705341113
validateURL,start,inter,1724705400855
validateURL,end,inter,1724705407536
parsepage,start,inter,1724705408671
parsepage,end,inter,1724705416429
validateURL,start,inter,1724705434088
validateURL,end,inter,1724705438875
parsepage,start,inter,1724705440225
parsepage,end,inter,1724705448772
validateURL,start,inter,1724705481174
validateURL,end,inter,1724705484671
parsepage,start,inter,1724705485659
parsepage,end,inter,1724705493265
validateURL,start,inter,1724705521489
validateURL,end,inter,1724705527117
parsepage,start,inter,1724705528154
parsepage,end,inter,1724705536843
validateURL,start,inter,1724705549508
validateURL,end,inter,1724705553697
parsepage,start,inter,1724705554814
parsepage,end,inter,1724705566937
validateURL,start,inter,1724705587749
validateURL,end,inter,1724705591545
parsepage,start,inter,1724705592555
parsepage,end,inter,1724705599340
validateURL,start,inter,1724705621021
validateURL,end,inter,1724705624341
parsepage,start,inter,1724705625620
parsepage,end,inter,1724705644938
validateURL,start,inter,1724705653268
validateURL,end,inter,1724705655220
parsepage,start,inter,1724705656670
parsepage,end,inter,1724705665224
validateURL,start,inter,1724705681706
validateURL,end,inter,1724705685239
parsepage,start,inter,1724705686322
parsepage,end,inter,1724705695450
validateURL,start,inter,1724705701577
validateURL,end,inter,1724705708490
parsepage,start,inter,1724705709588
parsepage,end,inter,1724705715174
validateURL,start,inter,1724705721364
validateURL,end,inter,1724705724624
parsepage,start,inter,1724705725729
parsepage,end,inter,1724705732095
validateURL,start,inter,1724705738813
validateURL,end,inter,1724705740591
parsepage,start,inter,1724705741662
parsepage,end,inter,1724705746295
validateURL,start,inter,1724705754064
validateURL,end,inter,1724705757077
parsepage,start,inter,1724705758081
parsepage,end,inter,1724705766332
validateURL,start,inter,1724705772804
validateURL,end,inter,1724705777864
parsepage,start,inter,1724705778944
parsepage,end,inter,1724705791235
validateURL,start,inter,1724705796968
validateURL,end,inter,1724705804114
parsepage,start,inter,1724705805154
parsepage,end,inter,1724705815776
parsepage,start,inter,1724708213724
parsepage,end,inter,1724708222154
parsepage,start,inter,1724708223720
parsepage,end,inter,1724708233928
parsepage,start,inter,1724708235038
parsepage,end,inter,1724708242465
parsepage,start,inter,1724708243514
parsepage,end,inter,1724708255702
parsepage,start,inter,1724708256777
parsepage,end,inter,1724708265222
parsepage,start,inter,1724708266343
parsepage,end,inter,1724708270214
parsepage,start,inter,1724708271295
parsepage,end,inter,1724708284465
parsepage,start,inter,1724708285575
parsepage,end,inter,1724708295187
parsepage,start,inter,1724708296250
parsepage,end,inter,1724708303295
parsepage,start,inter,1724708304375
parsepage,end,inter,1724708318423
parsepage,start,inter,1724708319483
parsepage,end,inter,1724708328143
parsepage,start,inter,1724708329260
parsepage,end,inter,1724708341053
parsepage,start,inter,1724708342112
parsepage,end,inter,1724708348381
parsepage,start,inter,1724708349415
parsepage,end,inter,1724708359527
parsepage,start,inter,1724708360586
parsepage,end,inter,1724708368056
parsepage,start,inter,1724708369133
parsepage,end,inter,1724708381737
parsepage,start,inter,1724708382789
parsepage,end,inter,1724708391828
parsepage,start,inter,1724708392865
parsepage,end,inter,1724708399814
parsepage,start,inter,1724708400899
