Task,Start.End,Type,Time
fetchmem,start,intra,1721071062543
validateURL,start,inter,1721071065745
validateURL,end,inter,1721071072664
validateURL,start,inter,1721071073774
validateURL,end,inter,1721071077517
validateURL,start,inter,1721071078533
validateURL,end,inter,1721071083645
validateURL,start,inter,1721071084659
validateURL,end,inter,1721071089751
validateURL,start,inter,1721071090696
validateURL,end,inter,1721071097128
validateURL,start,inter,1721071098096
validateURL,end,inter,1721071101937
validateURL,start,inter,1721071102912
validateURL,end,inter,1721071108163
validateURL,start,inter,1721071109131
validateURL,end,inter,1721071113938
validateURL,start,inter,1721071114914
validateURL,end,inter,1721071122211
validateURL,start,inter,1721071123228
validateURL,end,inter,1721071127687
validateURL,start,inter,1721071128673
validateURL,end,inter,1721071134078
validateURL,start,inter,1721071135232
validateURL,end,inter,1721071138533
validateURL,start,inter,1721071139583
validateURL,end,inter,1721071143003
validateURL,start,inter,1721071144129
validateURL,end,inter,1721071148980
validateURL,start,inter,1721071150035
validateURL,end,inter,1721071156646
validateURL,start,inter,1721071157621
validateURL,end,inter,1721071162086
validateURL,start,inter,1721071163063
validateURL,end,inter,1721071168775
validateURL,start,inter,1721071169809
validateURL,end,inter,1721071174780
validateURL,start,inter,1721071175766
validateURL,end,inter,1721071183290
validateURL,start,inter,1721071184200
validateURL,end,inter,1721071187860
validateURL,start,inter,1721071188864
validateURL,end,inter,1721071193918
validateURL,start,inter,1721071194842
validateURL,end,inter,1721071201297
validateURL,start,inter,1721071202296
validateURL,end,inter,1721071209871
validateURL,start,inter,1721071210802
validateURL,end,inter,1721071218502
validateURL,start,inter,1721071219445
validateURL,end,inter,1721071222889
validateURL,start,inter,1721071223834
validateURL,end,inter,1721071229478
validateURL,start,inter,1721071230490
validateURL,end,inter,1721071236301
validateURL,start,inter,1721071237247
validateURL,end,inter,1721071243728
validateURL,start,inter,1721071244777
validateURL,end,inter,1721071251300
validateURL,start,inter,1721071252272
validateURL,end,inter,1721071257807
validateURL,start,inter,1721071258802
validateURL,end,inter,1721071266648
validateURL,start,inter,1721071267587
validateURL,end,inter,1721071272483
validateURL,start,inter,1721071273461
validateURL,end,inter,1721071278124
fetchmem,end,intra,1721071278124
writemem,start,intra,1721071665945
writemem,end,intra,1721071665949
fetchmem,start,intra,1721071711341
fetchmem,end,intra,1721071711352
writemem,start,intra,1721071796383
writemem,end,intra,1721071796384
fetchmem,start,intra,1721077000037
fetchmem,end,intra,1721077000047
validateURL,start,inter,1721077031543
validateURL,end,inter,1721077034973
parsepage,start,inter,1721077036055
parsepage,end,inter,1721077038310
parsepage,start,inter,1721077959769
parsepage,end,inter,1721077961861
validateURL,start,inter,1721078011049
validateURL,end,inter,1721078014419
parsepage,start,inter,1721078015490
parsepage,end,inter,1721078019487
validateURL,start,inter,1721078040586
validateURL,end,inter,1721078046385
parsepage,start,inter,1721078047393
parsepage,end,inter,1721078049311
parsepage,start,inter,1721078093498
parsepage,end,inter,1721078095401
fetchmem,start,intra,1721078307062
fetchmem,end,intra,1721078307072
validateURL,start,inter,1721078460609
validateURL,end,inter,1721078465102
parsepage,start,inter,1721078466187
parsepage,end,inter,1721078468322
validateURL,start,inter,1721078482406
validateURL,end,inter,1721078485538
parsepage,start,inter,1721078486653
parsepage,end,inter,1721078488704
validateURL,start,inter,1721078518037
validateURL,end,inter,1721078522311
validateURL,start,inter,1721078564295
validateURL,end,inter,1721078570767
parsepage,start,inter,1721078571827
validateURL,start,inter,1721079057593
validateURL,end,inter,1721079087815
validateURL,start,inter,1721079097822
validateURL,end,inter,1721079103316
parsepage,start,inter,1721079104410
parsepage,end,inter,1721079106421
validateURL,start,inter,1721079142017
validateURL,end,inter,1721079146106
parsepage,start,inter,1721079147202
parsepage,end,inter,1721079149120
parsepage,start,inter,1721079177523
parsepage,end,inter,1721079179354
writemem,start,intra,1721079581588
writemem,end,intra,1721079581592
